I, [2019-02-18T12:10:55.324512 #5533]  INFO -- Kitchen: -----> Starting Kitchen (v1.24.0)
E, [2019-02-18T12:10:55.324766 #5533] ERROR -- Kitchen: ------Exception-------
E, [2019-02-18T12:10:55.324795 #5533] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2019-02-18T12:10:55.324816 #5533] ERROR -- Kitchen: Message: Kitchen YAML file /Users/Shared/ansible-microservices/microservices-demo-ansible/.kitchen.yml does not exist.
E, [2019-02-18T12:10:55.324838 #5533] ERROR -- Kitchen: ----------------------
E, [2019-02-18T12:10:55.324862 #5533] ERROR -- Kitchen: ------Backtrace-------
E, [2019-02-18T12:10:55.324879 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2019-02-18T12:10:55.324896 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:152:in `data'
E, [2019-02-18T12:10:55.324913 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:131:in `suites'
E, [2019-02-18T12:10:55.324931 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2019-02-18T12:10:55.324955 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2019-02-18T12:10:55.324977 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/config.rb:117:in `instances'
E, [2019-02-18T12:10:55.324998 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2019-02-18T12:10:55.325016 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2019-02-18T12:10:55.325034 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2019-02-18T12:10:55.325051 #5533] ERROR -- Kitchen: /System/Library/Frameworks/Ruby.framework/Versions/2.3/usr/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2019-02-18T12:10:55.325068 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/command/action.rb:34:in `call'
E, [2019-02-18T12:10:55.325085 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:52:in `perform'
E, [2019-02-18T12:10:55.325105 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2019-02-18T12:10:55.325121 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2019-02-18T12:10:55.325138 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2019-02-18T12:10:55.325155 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2019-02-18T12:10:55.325171 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2019-02-18T12:10:55.325193 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `block in <top (required)>'
E, [2019-02-18T12:10:55.325210 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2019-02-18T12:10:55.325226 #5533] ERROR -- Kitchen: /Library/Ruby/Gems/2.3.0/gems/test-kitchen-1.24.0/bin/kitchen:13:in `<top (required)>'
E, [2019-02-18T12:10:55.325243 #5533] ERROR -- Kitchen: /usr/local/bin/kitchen:22:in `load'
E, [2019-02-18T12:10:55.325259 #5533] ERROR -- Kitchen: /usr/local/bin/kitchen:22:in `<main>'
E, [2019-02-18T12:10:55.325275 #5533] ERROR -- Kitchen: ----End Backtrace-----
